method,type,request_id,call_label,kind,api_in_tokens,api_out_tokens,local_in_tokens,local_out_tokens,local_sec
DeRTa,intra,748,target,local,0,0,62,137,4.642227033153176
DeRTa,intra,750,target,local,0,0,45,189,6.466721870936453
DeRTa,intra,751,target,local,0,0,58,59,1.9519658694043756
DeRTa,intra,753,target,local,0,0,32,97,3.216489901766181
DeRTa,intra,755,target,local,0,0,31,512,17.47268129978329
DeRTa,intra,760,target,local,0,0,37,512,17.421961180865765
DeRTa,intra,765,target,local,0,0,38,399,12.813999486155808
DeRTa,intra,769,target,local,0,0,28,198,6.528162655420601
DeRTa,intra,775,target,local,0,0,271,20,0.6747950036078691
DeRTa,intra,781,target,local,0,0,53,229,7.407820271328092
DeRTa,intra,787,target,local,0,0,46,512,17.7228018399328
DeRTa,intra,788,target,local,0,0,42,424,14.308143951930106
DeRTa,intra,790,target,local,0,0,38,377,13.115851994603872
DeRTa,intra,793,target,local,0,0,63,512,16.686481255106628
