method,type,request_id,call_label,kind,api_in_tokens,api_out_tokens,local_in_tokens,local_out_tokens,local_sec
ReFAT,intra,638,refat_decode,local,0,0,41,512,16.814425165764987
ReFAT,intra,641,refat_decode,local,0,0,17,294,9.712164452299476
ReFAT,intra,646,refat_decode,local,0,0,18,368,12.117021625861526
ReFAT,intra,649,refat_decode,local,0,0,25,346,11.24141953419894
ReFAT,intra,650,refat_decode,local,0,0,80,512,17.23308555688709
ReFAT,intra,651,refat_decode,local,0,0,20,296,10.882031995803118
ReFAT,intra,652,refat_decode,local,0,0,20,310,10.485180551186204
ReFAT,intra,653,refat_decode,local,0,0,29,416,13.655351920984685
ReFAT,intra,654,refat_decode,local,0,0,21,220,8.209008803591132
ReFAT,intra,657,refat_decode,local,0,0,22,505,17.412703035399318
ReFAT,intra,658,refat_decode,local,0,0,78,334,11.49431659374386
ReFAT,intra,659,refat_decode,local,0,0,23,392,14.108051680028439
ReFAT,intra,669,refat_decode,local,0,0,26,286,9.530743338167667
ReFAT,intra,670,refat_decode,local,0,0,21,512,17.173432641662657
ReFAT,intra,676,refat_decode,local,0,0,25,454,16.479724836535752
ReFAT,intra,686,refat_decode,local,0,0,35,159,5.036908760666847
ReFAT,intra,698,refat_decode,local,0,0,26,390,12.602698707953095
ReFAT,intra,701,refat_decode,local,0,0,44,329,11.262051042169333
ReFAT,intra,706,refat_decode,local,0,0,17,206,6.7567127868533134
ReFAT,intra,709,refat_decode,local,0,0,22,269,9.430330312810838
ReFAT,intra,715,refat_decode,local,0,0,70,311,10.131434503011405
ReFAT,intra,717,refat_decode,local,0,0,23,365,11.783507800661027
ReFAT,intra,720,refat_decode,local,0,0,32,480,16.195311550050974
ReFAT,intra,724,refat_decode,local,0,0,32,195,6.3651611767709255
ReFAT,intra,730,refat_decode,local,0,0,42,85,2.837834572419524
ReFAT,intra,732,refat_decode,local,0,0,82,370,12.027087986469269
ReFAT,intra,738,refat_decode,local,0,0,49,113,4.334660186432302
ReFAT,intra,742,refat_decode,local,0,0,32,210,8.283630184829235
ReFAT,intra,748,refat_decode,local,0,0,62,123,3.951034577563405
ReFAT,intra,750,refat_decode,local,0,0,45,146,6.0909131821244955
ReFAT,intra,751,refat_decode,local,0,0,58,60,2.3584043588489294
ReFAT,intra,753,refat_decode,local,0,0,32,120,3.893756188452244
ReFAT,intra,755,refat_decode,local,0,0,31,333,11.290239793248475
ReFAT,intra,760,refat_decode,local,0,0,37,324,10.988300386816263
ReFAT,intra,765,refat_decode,local,0,0,38,449,15.462945086881518
ReFAT,intra,769,refat_decode,local,0,0,28,223,7.384307502768934
ReFAT,intra,775,refat_decode,local,0,0,271,15,0.5319276433438063
ReFAT,intra,781,refat_decode,local,0,0,53,220,7.201204987242818
ReFAT,intra,787,refat_decode,local,0,0,46,512,17.3101687990129
ReFAT,intra,788,refat_decode,local,0,0,42,280,9.544919210486114
ReFAT,intra,790,refat_decode,local,0,0,38,512,18.834560194052756
ReFAT,intra,793,refat_decode,local,0,0,63,512,16.890440388582647
